1uM,,250nM,,500nM,,750nM,,100nM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
708,0.0132956684182933,708,-0.0151880201305708,708,0.0106292217205222,708,-0.0121365201951632,708,0.0163067856816355
707,0.01328547268776,707,-0.0151466242213896,707,0.0107202200155835,707,-0.0120894952519988,707,0.0163784709736803
706,0.0133023411463966,706,-0.015174621886527,706,0.0106581640083847,706,-0.0120688510027173,706,0.0163400330690668
705,0.0132365792121411,705,-0.015222313752818,705,0.0107151257296567,705,-0.0119957826181006,705,0.0162341985740543
704,0.0134886851181255,704,-0.015093623698768,704,0.0107729706139668,704,-0.0120082720896918,704,0.0163933632161003
703,0.0134519973333898,703,-0.015138624556965,703,0.0107360339088055,703,-0.0118843686975752,703,0.0165085130793761
702,0.0134163271751764,702,-0.0150681711489663,702,0.010864158287177,702,-0.0119408347492955,702,0.0164374784328179
701,0.0135357108939409,701,-0.0151115746001257,701,0.0109005750127363,701,-0.01195428276209,701,0.0164710046929418
700,0.0134132035059255,700,-0.0149725482428483,700,0.0107775348502074,700,-0.0118878948925262,700,0.0164229879314001
699,0.0132530454502688,699,-0.0149919045787293,699,0.010548188269605,699,-0.0118465358617662,699,0.0161150917099667
698,0.01299702203766,698,-0.0151985684572669,698,0.0104851491316845,698,-0.0120414580936327,698,0.0159170914184321
697,0.0133519894626502,697,-0.0148617453769231,697,0.0106836061641719,697,-0.0118731350570556,697,0.0163738206127177
696,0.0134395284644868,696,-0.0148749031331277,696,0.0107199812195958,696,-0.0119172619468967,696,0.0163513221707119
695,0.0133037824691312,695,-0.0149697472545771,695,0.0106575007812955,695,-0.0118242174769979,695,0.0162738902059413
694,0.0132593972616596,694,-0.0150329651637803,694,0.0108598850960978,694,-0.0118245701466239,694,0.0164683967033711
693,0.0135229992791649,693,-0.0148338276005978,693,0.010835043029135,693,-0.0118825048401064,693,0.0166020696156476
692,0.0134722633466072,692,-0.0149598936344221,692,0.0109245448301317,692,-0.0117193611354907,692,0.0165820066430064
691,0.0134146451966341,691,-0.0148116121738008,691,0.0108970181425901,691,-0.0117935341232004,691,0.016562536226006
690,0.0135384882710659,690,-0.0149613942001454,690,0.0108823131826495,690,-0.0119461233433332,690,0.0165362095226466
689,0.0135333341141589,689,-0.0148187172311987,689,0.0109771609621029,689,-0.0117106429619012,689,0.0165482835735618
688,0.0134133903914881,688,-0.0151659728004995,688,0.0108836137817786,688,-0.0119820840749626,688,0.0165353221334829
687,0.0134586724638633,687,-0.014769880124156,687,0.0108913909149934,687,-0.0117989252799469,687,0.0166140648114431
686,0.0133294067828621,686,-0.0150343654563265,686,0.0108835076102752,686,-0.0118908669488925,686,0.0164940202076894
685,0.0135351767849916,685,-0.0149247288932903,685,0.0110677011152183,685,-0.0117969602866407,685,0.0166235052097175
684,0.0136343453718724,684,-0.0146896072097799,684,0.0110402450102136,684,-0.0115337219795896,684,0.016706245229626
683,0.0135799908103388,683,-0.0147998535487972,683,0.0109225008406182,683,-0.011627534359824,683,0.016650375158815
682,0.0136729452477033,682,-0.0146921597565222,682,0.0110127640901001,682,-0.0116885191809343,682,0.0165846422085158
681,0.0135811659721509,681,-0.0147693296746437,681,0.0108059031847285,681,-0.0117579104988613,681,0.0164526684385098
680,0.0135556603336482,680,-0.0147250412231235,680,0.0108219059719983,680,-0.0116918957761925,680,0.0164281764969357
679,0.0134145384045657,679,-0.014853440276155,679,0.010881198386496,679,-0.0117873871151615,679,0.0164446566524823
678,0.013393607666104,678,-0.0148235205844298,678,0.0109115112437236,678,-0.0117835577874829,678,0.0163990890697697
